campaign_id,campaign_name,campaign_type,target_audience,start_date,end_date,budget,actual_spend,leads_generated,conversions,conversion_rate,revenue_generated,roi,status,owner,notes
CAMP-2024038,Direct Mail - Q3 2023,Webinar,Enterprise Manufacturers,2023-11-01,2024-01-20,70853,60758.76,468,17,3.63,178369.46,151.75,Active,Chris Patel,Need to optimize messaging
CAMP-2024039,Social Media - Q3 2023,PPC,Warehousing & Logistics,2023-04-16,2023-05-19,17874,17746.4,2699,94,3.48,47796.54,167.41,Planned,Chris Patel,Strong engagement metrics
CAMP-2024040,Social Media - Q4 2024,Trade Show,Warehousing & Logistics,2023-10-11,2024-02-28,32580,28590.4,4783,152,3.18,54141.51,66.18,Planned,David Martinez,Budget increased mid-campaign
CAMP-2024041,PPC - Q2 2023,Social Media,Enterprise Manufacturers,2023-05-30,2023-07-03,87822,76923.69,3833,374,9.76,226155.88,157.52,Planned,Jessica Martinez,Need to optimize messaging
CAMP-2024042,Webinar - Q4 2024,Webinar,Manufacturing Companies,2024-06-16,2024-10-21,43796,41453.65,3243,315,9.71,42226.12,-3.58,On Hold,David Martinez,Exceeded expectations
CAMP-2024043,Direct Mail - Q4 2024,Social Media,SMB Manufacturers,2023-06-30,2023-09-27,7979,7914.01,3948,521,13.2,22005.29,175.79,Planned,Chris Patel,Strong engagement metrics
CAMP-2024044,Social Media - Q1 2024,Trade Show,System Integrators,2023-10-02,2024-03-30,82679,77987.09,398,4,1.01,121514.61,46.97,Planned,Chris Patel,Budget increased mid-campaign
CAMP-2024045,PPC - Q3 2024,Email,Food & Beverage,2023-09-21,2023-11-04,29451,30561.51,2806,222,7.91,49307.98,67.42,Planned,David Martinez,Budget increased mid-campaign
CAMP-2024046,Trade Show - Q1 2023,Email,Food & Beverage,2023-11-14,2024-01-25,76200,77531.52,1349,186,13.79,291433.14,282.46,Completed,David Martinez,
CAMP-2024047,Content Marketing - Q4 2024,Email,Enterprise Manufacturers,2023-06-17,2023-07-23,28831,27621.89,4698,222,4.73,113730.87,294.47,Active,Jessica Martinez,Exceeded expectations
CAMP-2024048,Content Marketing - Q2 2024,Direct Mail,Automotive Industry,2024-03-10,2024-06-08,20828,20459.12,684,26,3.8,56843.85,172.92,Active,David Martinez,Need to optimize messaging
CAMP-2024049,Social Media - Q2 2023,Email,SMB Manufacturers,2024-02-27,2024-05-08,12443,12627.85,2589,153,5.91,44907.9,260.91,Planned,David Martinez,Strong engagement metrics
CAMP-2024050,Content Marketing - Q2 2024,PPC,System Integrators,2023-05-04,2023-09-05,23552,21677.74,3230,237,7.34,63348.83,168.97,Planned,David Martinez,Budget increased mid-campaign
